Year,Month,Min Temp (°C),Max Temp (°C),Humidity (%),Wind (km/day),Sun (hours),Rad (MJ/m²/day),ETo (mm/day)
2005,January,7.7,20.1,50,6,4.2,9.9,1.12
2005,February,10.8,23.2,49,7,6.1,13.8,1.65
2005,March,17.1,30.4,45,6,7.2,17.7,2.64
2005,April,20.4,36.3,22,8,8,20.8,3.32
2005,May,24.8,39.5,20,9,7.2,20.7,3.72
2005,June,28.1,40.3,27,9,5.7,18.8,3.92
2005,July,27.1,34.2,72,7,3.5,15.2,3.51
2005,August,27.3,35.7,64,7,6.8,19.4,4.2
2005,September,25.1,33.9,74,7,5.5,16,3.49
2005,October,18.8,33.2,61,4,7.3,15.9,2.9
2005,November,12.2,29,41,6,6.1,12.3,1.77
2005,December,6,22.7,37,6,3.2,8.4,1.12
2006,January,7.1,22.4,38,8,5.1,10.9,1.11
2006,February,13.5,29.6,27,8,5.3,12.9,1.63
2006,March,15.3,29.6,38,7,6.6,16.9,2.5
2006,April,20.1,37.4,19,8,7.3,19.8,3.15
2006,May,24.4,39.8,30,7,5.8,18.7,3.69
2006,June,24.3,38.2,40,9,5.3,18.2,3.85
2006,July,27,34.9,69,8,4.4,16.6,3.74
2006,August,26.8,35.5,79,7,6.9,19.6,4.38
2006,September,24.7,34.5,68,6,7.4,18.6,3.86
2006,October,20.5,33.6,47,6,6.7,15.3,2.69
2006,November,13.8,28.9,43,6,6,12.2,1.79
2006,December,9.2,23.3,44,7,5,10.2,1.25
2007,January,6.8,21.5,31,8,6,11.8,1.13
2007,February,11.8,24.2,57,7,5.4,13.1,1.71
2007,March,15.3,28.3,47,9,8,18.8,2.68
2007,April,23,38.2,26,8,8.5,21.6,3.56
2007,May,25.8,38.9,29,8,6.7,19.9,3.85
2007,June,28.4,38.1,40,10,6,19.1,4.1
2007,July,27.6,35.9,66,8,4.5,16.8,3.84
2007,August,27.2,35.1,82,7,5.4,17.4,3.98
2007,September,25.2,34.6,74,4,6.2,17,3.68
2007,October,17.5,33.4,43,5,7.9,16.7,2.74
2007,November,12.6,29,45,5,4.2,10.2,1.63
2007,December,8,22.9,38,7,3.9,9,1.17
2008,January,6.5,20.9,31,7,3.8,9.5,1.12
2008,February,8.3,23.5,27,8,6.1,13.8,1.45
2008,March,17.1,33.4,18,7,5.1,14.9,2.07
2008,April,21.2,36.2,28,9,8.1,21.1,3.57
2008,May,24.4,37,35,8,5.4,18,3.59
2008,June,26.6,35,62,7,1.9,13.1,3.02
2008,July,27.1,35.3,76,6,3.5,15.3,3.53
2008,August,26.4,33.6,85,6,3.8,15,3.43
2008,September,24.4,33.9,81,5,6.9,17.8,3.79
2008,October,20.9,34.2,72,4,6.1,14.4,2.9
2008,November,12.9,29,59,5,4.4,10.5,1.74
2008,December,10.2,24.6,52,6,4.2,9.4,1.29
2009,January,8.9,21.8,51,6,4.4,10.1,1.19
2009,February,11.2,25.7,40,7,7.5,15.5,1.8
2009,March,16.1,31.5,28,7,6.8,17.1,2.39
2009,April,22.2,36.9,23,9,8.5,21.6,3.47
2009,May,25.8,40.1,22,7,7.7,21.4,3.87
2009,June,28.2,40.9,25,8,6.9,20.5,4.1
2009,July,28,36.7,51,7,5.6,18.4,4.06
2009,August,27.2,35.4,72,6,6.1,18.3,4.1
2009,September,25.1,34.1,76,5,6.8,17.7,3.81
2009,October,19.2,33,55,5,7.3,16,2.85
2009,November,13.5,27.3,49,5,4.7,10.8,1.67
2009,December,8.7,23.6,44,5,4.8,9.9,1.19
2010,January,8.2,18.9,40,5,2.4,8,0.98
2010,February,11.7,25.3,44,7,6.3,14.1,1.63
2010,March,18.5,33.7,23,7,7.7,18.4,2.45
2010,April,24.8,40.4,14,7,6.8,19.1,3.04
2010,May,27.8,41.4,16,9,5.9,18.8,3.56
2010,June,28.6,40.4,27,9,5.4,18.3,3.9
2010,July,27.7,35.6,70,8,3.6,15.4,3.65
2010,August,26.7,33.6,86,6,3.5,14.6,3.4
2010,September,24.6,32.1,87,6,3.7,13.5,2.98
2010,October,21.1,33,74,4,6.2,14.6,2.88
2010,November,15.4,27.5,67,4,4.2,10.2,1.8
2010,December,7.9,22.3,64,5,4.4,9.5,1.28
2011,January,6.3,19.3,59,6,3.9,9.6,1.12
2011,February,10.9,24.3,57,6,5.9,13.6,1.68
2011,March,16,30,40,7,6.2,16.3,2.43
2011,April,20.2,35.3,29,7,7.1,19.6,3.21
2011,May,26.8,40.1,27,8,7.8,21.5,4.04
2011,June,26.8,37.9,48,8,5.5,18.4,4.05
